Livro,Capítulos
Evangelho segundo Mateus,28
Evangelho segundo Marcos,16
Evangelho segundo Lucas,24
Evangelho segundo João,21
Atos dos Apóstolos,28
Carta aos Romanos,16
I Coríntios,16
II Coríntios,13
Carta aos Gálatas,6
Carta aos Efésios,6
Carta aos Filipenses,4
Carta aos Colossenses,4
I Tessalonicenses,5
II Tessalonicenses,3
I Timóteo,6
II Timóteo,4
Carta a Tito,3
Carta a Filemom,1
Carta aos Hebreus,13
Carta de Tiago,5
I Pedro,5
II Pedro,3
I João,5
II João,1
III João,1
Judas,1
Apocalipse de João,22
